Fortune  Rank,Company Name,Ticker Symbol,Fortune Rank,Revenues,Revenues change,Profits,Profit Change,Assets,Market Value,Employee Count,CEO Name,CEO Title,Sector,Industry,HQ Location,Website URL,Years on Fortune List,Fortune URL
264,Praxair,PX,275,"$11,437 ",8.60%,"$1,247.00 ",-16.90%,"$20,436 ","$41,434 ","26,461",Stephen F. Angel,Chairman & Chief Executive Officer,Chemicals,Chemicals,"Danbury, Conn.",http://www.praxair.com,24,http://fortune.com/fortune500/praxair/
265,CSX,CSX,257,"$11,408 ",3.10%,"$5,471.00 ",219.20%,"$35,739 ","$49,428 ","24,006",James M. Foote,"President, Chief Executive Officer & Director",Transportation,Railroads,"Jacksonville, Fla.",http://www.csx.com,24,http://fortune.com/fortune500/csx/
266,Xcel Energy,XEL,256,"$11,404 ",2.70%,"$1,148.00 ",2.20%,"$43,030 ","$23,107 ","11,105",Benjamin G.S. Fowke III,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,Minneapolis,http://www.xcelenergy.com,22,http://fortune.com/fortune500/xcel-energy/
267,Unum Group,UNM,258,"$11,287 ",2.20%,$994.20 ,6.70%,"$64,013 ","$10,530 ","9,400",Richard P. McKenney,"President, Chief Executive Officer & Director",Financials,"Insurance: Life, Health (stock)","Chattanooga, Tenn.",http://www.unum.com,23,http://fortune.com/fortune500/unum-group/
268,Universal Health Services,UHS,276,"$11,279 ",7.30%,$752.30 ,7.10%,"$10,762 ","$11,163 ","72,300",Alan B. Miller,Chairman & Chief Executive Officer,Health Care,Health Care: Medical Facilities,"King of Prussia, Pa.",http://www.uhsinc.com,15,http://fortune.com/fortune500/universal-health-services/
269,NRG Energy,NRG,229,"$11,275 ",-8.70%,"($2,153.00)",,"$23,318 ","$9,698 ","5,940",Mauricio Gutierrez,"President, Chief Executive Officer & Director",Energy,Energy,"Princeton, N.J.",http://www.nrg.com,12,http://fortune.com/fortune500/nrg-energy/
270,EOG Resources,EOG,356,"$11,208 ",46.50%,"$2,582.60 ",,"$29,833 ","$60,913 ","2,664",William R. Thomas,Chairman & Chief Executive Officer,Energy,"Mining, Crude-Oil Production",Houston,http://www.eogresources.com,10,http://fortune.com/fortune500/eog-resources/
271,Sempra Energy,SRE,280,"$11,207 ",10.10%,$256.00 ,-81.30%,"$50,454 ","$29,351 ","16,046",J. Walker Martin,Chairman & Chief Executive Officer,Energy,Utilities: Gas and Electric,San Diego,http://www.sempra.com,20,http://fortune.com/fortune500/sempra-energy/
272,Toys “R” Us,,244,"$11,146 ",-3.40%,($612.00),,"$7,262 ",,"65,000",David A. Brandon,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Wayne, N.J.",http://www.toysrusinc.com,24,http://fortune.com/fortune500/toys-r-us/
273,Group  Automotive,GPI,261,"$11,124 ",2.20%,$213.40 ,45.10%,"$4,871 ","$1,366 ","14,108",Earl J. Hesterberg,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services",Houston,http://www.group1auto.com,18,http://fortune.com/fortune500/group-1-automotive/
274,Entergy,ETR,263,"$11,075 ",2.10%,$411.60 ,,"$46,707 ","$14,298 ","13,504",Leo P. Denault,Chairman & Chief Executive Officer,Energy,Utilities: Gas and Electric,New Orleans,http://www.entergy.com,24,http://fortune.com/fortune500/entergy/
275,Molson Coors Brewing,TAP,522,"$11,003 ",125.20%,"$1,414.20 ",-28.40%,"$30,247 ","$16,238 ","17,200",Mark R. Hunter,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Beverages,Denver,http://www.molsoncoors.com,8,http://fortune.com/fortune500/molson-coors-brewing/
276,L Technologies,LLL,273,"$11,002 ",3.80%,$677.00 ,-4.60%,"$12,729 ","$16,283 ","38,000",Christopher E. Kubasik,"President, Chief Executive Officer & Director",Aerospace & Defense,Aerospace and Defense,New York City,http://www.l3t.com,16,http://fortune.com/fortune500/l3-technologies/
277,Ball,BLL,306,"$10,983 ",21.20%,$374.00 ,42.20%,"$17,169 ","$13,920 ","18,300",John A. Hayes,"Chairman, President & Chief Executive Officer",Materials,"Packaging, Containers","Broomfield, Colo.",http://www.ball.com,22,http://fortune.com/fortune500/ball/
278,AutoZone,AZO,270,"$10,889 ",2.40%,"$1,280.90 ",3.20%,"$9,260 ","$17,450 ","70,035",William C. Rhodes III,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Other,Memphis,http://www.autozone.com,20,http://fortune.com/fortune500/autozone/
279,Murphy USA,MUSA,291,"$10,853 ",12.70%,$245.30 ,10.70%,"$2,331 ","$2,440 ","6,900",R. Andrew Clyde,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Other,"El Dorado, Ark.",http://www.murphyusa.com,5,http://fortune.com/fortune500/murphy-usa/
280,MGM Resorts International,MGM,297,"$10,774 ",13.90%,"$1,960.30 ",78.00%,"$29,159 ","$19,844 ","68,500",James J. Murren,Chairman & Chief Executive Officer,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,http://www.mgmresorts.com,18,http://fortune.com/fortune500/mgm-resorts-international/
281,Office Depot,ODP,203,"$10,752 ",-20.90%,$181.00 ,-65.80%,"$6,323 ","$1,195 ","45,000",Gerry P. Smith,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Boca Raton, Fla.",http://www.officedepot.com,24,http://fortune.com/fortune500/office-depot/
282,Huntsman,HUN,289,"$10,592 ",9.70%,$636.00 ,95.10%,"$10,244 ","$7,090 ","10,000",Peter R. Huntsman,"Chairman, President & Chief Executive Officer",Chemicals,Chemicals,"The Woodlands, Texas",http://www.huntsman.com,13,http://fortune.com/fortune500/huntsman/
283,Baxter International,BAX,281,"$10,561 ",3.90%,$717.00 ,-85.60%,"$17,111 ","$34,979 ","47,000",Jose E. Almeida,"Chairman, President & Chief Executive Officer",Health Care,Medical Products and Equipment,"Deerfield, Ill.",http://www.baxter.com,24,http://fortune.com/fortune500/baxter-international/
284,Norfolk Southern,NSC,284,"$10,551 ",6.70%,"$5,404.00 ",224.00%,"$35,711 ","$41,226 ","27,110",James A. Squires,"Chairman, President & Chief Executive Officer",Transportation,Railroads,"Norfolk, Va.",http://www.norfolksouthern.com,24,http://fortune.com/fortune500/norfolk-southern/
285,salesforce.com,CRM,326,"$10,480 ",24.90%,$127.50 ,-29.00%,"$21,010 ","$85,074 ","29,000",Marc R. Benioff,Chairman & Chief Executive Officer,Technology,Computer Software,San Francisco,http://www.salesforce.com,4,http://fortune.com/fortune500/salesforce-com/
286,Laboratory Corp. of America,LH,290,"$10,441 ",8.30%,"$1,268.20 ",73.20%,"$16,568 ","$16,482 ","60,000",David P. King,"Chairman, President & Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,"Burlington, N.C.",http://www.labcorp.com,9,http://fortune.com/fortune500/laboratory-corp-of-america/
287,W.W. Grainger,GWW,282,"$10,425 ",2.80%,$585.70 ,-3.30%,"$5,804 ","$15,823 ","25,050",Donald G. MacPherson,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Diversified,"Lake Forest, Ill.",http://www.grainger.com,24,http://fortune.com/fortune500/w-w-grainger/
288,Qurate Retail,QRTEA,269,"$10,404 ",-2.30%,"$2,441.00 ",97.70%,"$24,122 ","$12,587 ","28,255",Gregory B. Maffei,Chairman,Retailing,Internet Services and Retailing,"Englewood, Colo.",http://www.libertyinteractive.com,14,http://fortune.com/fortune500/qurate-retail/
289,Autoliv,ALV,283,"$10,383 ",3.10%,$427.10 ,-24.70%,"$8,550 ","$12,710 ","67,352",Jan Carlson,"Chairman, President & Chief Executive Officer",Motor Vehicles & Parts,Motor Vehicles and Parts,"Auburn Hills, Mich.",http://www.autoliv.com,20,http://fortune.com/fortune500/autoliv/
290,Live Nation Entertainment,LYV,330,"$10,337 ",23.70%,($6.00),-304.50%,"$7,504 ","$8,772 ","15,050",Michael Rapino,"President, Chief Executive Officer & Director",Media,Entertainment,"Beverly Hills, Calif.",http://www.livenationentertainment.com,9,http://fortune.com/fortune500/live-nation-entertainment/
291,Xerox,XRX,162,"$10,265 ",-40.10%,$195.00 ,,"$15,946 ","$7,330 ","36,100",John Visentin,Chairman & Chief Executive Officer,Technology,"Computers, Office Equipment","Norwalk, Conn.",http://www.xerox.com,24,http://fortune.com/fortune500/xerox/
292,Leidos Holdings,LDOS,381,"$10,170 ",44.40%,$366.00 ,50.00%,"$8,990 ","$9,918 ","31,000",Roger A. Krone,Chairman & Chief Executive Officer,Technology,Information Technology Services,"Reston, Va.",http://www.leidos.com,18,http://fortune.com/fortune500/leidos-holdings/
293,Corning,GLW,298,"$10,116 ",7.70%,($497.00),-113.50%,"$27,494 ","$23,677 ","46,200",Wendell P. Weeks,"Chairman, President & Chief Executive Officer",Industrials,"Electronics, Electrical Equip.","Corning, N.Y.",http://www.corning.com,23,http://fortune.com/fortune500/corning/
294,Lithia Motors,LAD,318,"$10,087 ",16.20%,$245.20 ,24.40%,"$4,683 ","$2,515 ","12,899",Bryan B. DeBoer,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services","Medford, Ore.",http://www.lithiainvestorrelations.com,4,http://fortune.com/fortune500/lithia-motors/
